# occupying energies
-8491.40021667735 -8490.92745591946 
-8491.40021667735 -8490.88061762543 
-8491.40021667735 -8490.91641611472 
-8491.40021667735 -8490.9745858233 
-8491.40021667735 -8491.02215726515 
-8491.40021667735 -8490.92866602497 
-8491.40021667735 -8490.87886319985 
-8491.40021667735 -8490.92819043302 
-8491.92024475475 -8491.40021667735 
-8491.40021667735 -8490.93524681687 
-8491.40021667735 -8490.91673518341 
-8491.40021667735 -8490.95400361676 
-8491.40021667735 -8490.9273933048 
-8491.40021667735 -8490.95904035575 
-8491.40021667735 -8490.92336223767 
-8491.40021667735 -8490.87384162705 
-8491.40021667735 -8490.87900224577 
-8491.40021667735 -8490.93043955014 
-8491.40021667735 -8490.91655015266 
-8491.40021667735 -8490.92674106864 
-8491.40021667735 -8490.93235194833 
-8491.40021667735 -8490.96344422897 
-8491.40021667735 -8490.9766970047 
-8491.9168678858 -8491.40021667735 
-8491.40021667735 -8490.92375414165 
-8491.40021667735 -8490.90780483056 
-8491.40021667735 -8490.91282742151 
-8491.40021667735 -8490.99331669942 
-8491.40021667735 -8490.96846486823 
-8491.88052014135 -8491.40021667735 
-8491.40021667735 -8490.95961037432 
-8491.40021667735 -8490.8824919997 
-8491.40021667735 -8490.92831606458 
-8491.40021667735 -8490.91624062693 
-8491.40021667735 -8490.98275187624 
-8491.40021667735 -8490.9642224643 
-8491.40021667735 -8490.95549289045 
-8491.40021667735 -8490.92574559379 
-8491.40021667735 -8490.89128746942 
-8491.40021667735 -8491.01731847247 
-8491.40021667735 -8490.93200741822 
-8491.40021667735 -8491.04588908957 
-8491.40021667735 -8490.92320892315 
-8491.40021667735 -8490.88377627304 
-8491.40021667735 -8490.92835099142 
-8491.40021667735 -8490.87594762369 
-8491.40021667735 -8490.88605122048 
-8491.40021667735 -8490.88113907311 
-8491.40021667735 -8490.91639570462 
-8491.40021667735 -8490.93216735006 
-8491.40021667735 -8490.92617703522 
-8491.40021667735 -8490.93418262013 
-8491.40021667735 -8490.88753789449 
-8491.40021667735 -8490.89096250793 
-8491.40021667735 -8490.92875618123 
-8491.40021667735 -8490.89050007091 
-8491.40021667735 -8490.87887211452 
-8491.40021667735 -8490.95653303256 
-8491.40021667735 -8490.971417381 
-8491.40021667735 -8490.92862265389 
-8491.40021667735 -8490.92328712409 
-8491.40021667735 -8490.92695260289 
-8491.40021667735 -8491.00800037008 
-8491.40021667735 -8490.96793971272 
-8491.91651096067 -8491.40021667735 
-8491.40021667735 -8490.93193424489 
-8491.40021667735 -8490.95426749138 
-8491.40021667735 -8490.8805528764 
-8491.40021667735 -8490.87873666423 
-8491.40021667735 -8490.88395251373 
-8491.40021667735 -8490.87901252193 
-8491.40021667735 -8490.88045667506 
-8491.40021667735 -8491.00412441298 
-8491.92473855876 -8491.40021667734 
-8491.40021667735 -8490.95592444835 
-8491.40021667735 -8490.91239364798 
-8491.40021667735 -8490.88732849647 
-8491.40021667735 -8490.87884370048 
-8491.40021667735 -8490.88017411465 
-8491.40021667735 -8490.91696702717 
-8491.40021667735 -8490.88038726925 
-8491.40021667735 -8490.88704997981 
-8491.40021667735 -8490.92722864484 
-8491.40021667735 -8490.97633526936 
-8491.40021667735 -8490.9236254837 
-8491.40021667735 -8490.92356493412 
-8491.40021667735 -8490.97121066885 
-8491.40021667735 -8490.93918027603 
-8491.40021667735 -8490.87959332932 
-8491.40021667735 -8490.91964274046 
-8491.40021667735 -8490.87586599977 
-8491.40021667735 -8490.91109470117 
-8491.40021667735 -8490.88391828147 
-8491.40021667735 -8490.88710553287 
-8491.40021667735 -8490.8960936049 
-8491.40021667735 -8490.91657963707 
-8491.40021667735 -8490.93197825445 
-8491.40021667735 -8490.96883788907 
-8491.40021667735 -8490.96028694994 
-8491.40021667735 -8490.92185700566 
-8491.40021667735 -8490.87889724645 
-8491.40021667735 -8490.8756177652 
-8491.40021667735 -8490.91642056127 
-8491.40021667735 -8490.92826605076 
-8491.88795856156 -8491.40021667735 
-8491.40021667735 -8490.92368132439 
-8491.40021667735 -8490.9216097988 
-8491.40021667735 -8490.89745118985 
-8491.40021667735 -8490.90163269426 
-8491.40021667735 -8490.88744767513 
-8491.40021667735 -8490.87542025541 
-8491.40021667735 -8490.91902438515 
-8491.40021667735 -8490.9673237913 
-8491.40021667735 -8490.92104119916 
-8491.40021667735 -8490.88412577734 
-8491.40021667735 -8490.9285703544 
-8491.40021667735 -8490.93190552543 
-8491.40021667735 -8490.92876438853 
-8491.40021667735 -8490.93209162676 
-8491.40021667735 -8490.87925969178 
-8491.40021667735 -8490.92838287919 
-8491.40021667735 -8490.97609575433 
-8491.40021667735 -8490.9736111478 
-8491.40021667735 -8490.96116124325 
-8491.40021667735 -8490.88738930713 
-8491.40021667735 -8490.88390307723 
-8491.40021667735 -8490.92836218438 
-8491.40021667735 -8491.08796452361 
-8491.40021667735 -8490.94251678118 
-8491.40021667735 -8490.92548472987 
-8491.40021667735 -8490.9252684335 
-8491.40021667735 -8490.88395206075 
-8491.40021667735 -8490.93086310986 
-8491.40021667735 -8490.96703353224 
-8491.40021667735 -8490.94920049605 
-8491.40021667735 -8490.93517538717 
-8491.40021667735 -8490.92822240614 
-8491.40021667735 -8490.929288711 
-8491.40021667735 -8491.13758042652 
-8491.40021667735 -8491.01174900455 
-8491.81351545182 -8491.40021667735 
-8491.40021667735 -8490.93553069005 
-8491.40021667735 -8490.93182606381 
-8491.40021667735 -8490.88431581513 
-8491.40021667735 -8490.8790678105 
-8491.40021667735 -8490.91605645131 
-8491.40021667735 -8490.87560114663 
-8491.83588217329 -8491.40021667734 
-8491.82325114775 -8491.40021667734 
-8491.79314896617 -8491.40021667734 
-8491.40021667735 -8491.03521779767 
-8491.40021667735 -8490.99106374273 
-8491.90596079063 -8491.40021667734 
-8491.40021667735 -8490.92406870564 
-8491.40021667735 -8490.91671013805 
-8491.40021667735 -8490.87088952469 
-8491.40021667735 -8490.87412037897 
-8491.40021667735 -8491.00304096279 
-8491.40021667735 -8490.97135012323 
-8491.92140026362 -8491.40021667735 
-8491.40021667735 -8490.91291076975 
-8491.40021667735 -8490.87556824806 
-8491.40021667735 -8490.96801627958 
-8491.86951995456 -8491.40021667734 
-8491.82030200188 -8491.40021667735 
-8491.40021667735 -8491.00188324871 
-8491.40021667735 -8491.00900567385 
-8491.40021667735 -8490.91448162863 
-8491.40021667735 -8490.92378100045 
-8491.40021667735 -8490.88370581718 
-8491.40021667735 -8490.88390064932 
-8491.40021667735 -8490.8773580685 
-8491.40021667735 -8491.02480399869 
-8491.40021667735 -8490.95103727965 
-8491.40021667735 -8491.10353772825 
-8491.40021667735 -8490.89449497177 
-8491.40021667735 -8490.97912758871 
-8491.40021667735 -8490.91713429712 
-8491.40021667735 -8490.92883566072 
-8491.40021667735 -8490.88251624438 
-8491.40021667735 -8490.8804284907 
-8491.40021667735 -8490.95116842929 
-8491.40021667735 -8490.93069562702 
-8491.40021667735 -8490.9199934102 
-8491.40021667735 -8490.93642386551 
-8491.40021667735 -8490.88718393586 
-8491.40021667735 -8490.88232721635 
-8491.40021667735 -8490.96786033181 
-8491.40021667735 -8490.91302767385 
-8491.40021667735 -8490.96452157629 
-8491.40021667735 -8490.87399510024 
-8491.40021667735 -8490.93224471125 
-8491.40021667735 -8490.88700184606 
-8491.40021667735 -8490.92836338924 
-8491.40021667735 -8490.88713512931 
-8491.40021667735 -8490.87589356749 
-8491.40021667735 -8490.99800778103 
-8491.40021667735 -8490.95125888197 
-8491.40021667735 -8490.87910966669 
-8491.40021667735 -8490.92202655168 
-8491.40021667735 -8490.8836503083 
-8491.40021667735 -8490.88088007135 
-8491.40021667735 -8490.87044427312 
-8491.40021667735 -8490.88060510842 
-8491.40021667735 -8490.91316425502 
-8491.40021667735 -8490.93211415773 
-8491.86521033049 -8491.40021667735 
-8491.40021667735 -8490.90839180635 
-8491.40021667735 -8490.96805874088 
-8491.87678433199 -8491.40021667734 
-8491.40021667735 -8490.91140213073 
-8491.40021667735 -8490.94601669197 
-8491.40021667735 -8490.87900980812 
-8491.40021667735 -8490.87915150624 
-8491.40021667735 -8490.875802509 
-8491.40021667735 -8490.87914070052 
-8491.40021667735 -8490.93191050825 
-8491.40021667735 -8490.90760434071 
-8491.40021667735 -8490.92825075741 
-8491.40021667735 -8490.9165365017 
-8491.40021667735 -8490.93211621749 
-8491.86520855318 -8491.40021667734 
-8491.40021667735 -8490.87894123972 
-8491.40021667735 -8490.87923651121 
-8491.40021667735 -8490.88044736016 
-8491.40021667735 -8490.91330243729 
-8491.40021667735 -8490.88038380461 
-8491.40021667735 -8490.87898917648 
-8491.40021667735 -8490.87559172344 
-8491.40021667735 -8490.88731263402 
-8491.40021667735 -8491.0082289147 
-8491.40021667735 -8491.00231968578 
-8491.40021667735 -8490.96006073216 
-8491.40021667735 -8490.9355171862 
-8491.40021667735 -8490.96464404662 
-8491.40021667735 -8490.9316065128 
-8491.40021667735 -8490.93155534726 
-8491.40021667735 -8490.88740248613 
-8491.40021667735 -8490.87557692058 
-8491.40021667735 -8490.87050869739 
-8491.40021667735 -8490.88030998277 
-8491.40021667735 -8490.93543918294 
-8491.8718863269 -8491.40021667734 
-8491.40021667735 -8491.01291928501 
-8491.40021667735 -8491.0038673432 
-8491.40021667735 -8490.88415709702 
-8491.40021667735 -8490.93505019527 
-8491.40021667735 -8490.96385597817 
-8491.40021667735 -8490.88421060006 
-8491.40021667735 -8490.88403389643 
-8491.40021667735 -8490.88392460003 
-8491.40021667735 -8490.9561029884 
-8491.40021667735 -8490.91707008165 
-8491.40021667735 -8490.88236754819 
-8491.40021667735 -8490.87542274953 
-8491.40021667735 -8490.93159752367 
-8491.40021667735 -8490.95958389332 
-8491.40021667735 -8490.95133748574 
-8491.40021667735 -8490.98015120691 
-8491.40021667735 -8490.97165596523 
-8491.40021667735 -8490.88061913804 
-8491.40021667735 -8490.93153186922 
-8491.86866481531 -8491.40021667734 
-8491.40021667735 -8490.95119549186 
-8491.40021667735 -8490.96289436585 
-8491.40021667735 -8490.93205028146 
-8491.40021667735 -8490.95487158567 
-8491.40021667735 -8490.92823825529 
-8491.40021667735 -8490.87766837549 
-8491.40021667735 -8490.88047080891 
-8491.40021667735 -8490.90784973744 
-8491.40021667735 -8490.92357068581 
-8491.40021667735 -8490.9614848743 
-8491.88313794474 -8491.40021667734 
-8491.40021667735 -8490.93207979939 
-8491.40021667735 -8490.92165469207 
-8491.40021667735 -8490.87885380322 
-8491.40021667735 -8490.87549585018 
-8491.40021667735 -8490.88358997818 
-8491.40021667735 -8490.92807219866 
-8491.40021667735 -8490.9163902829 
-8491.40021667735 -8490.93541696354 
-8491.40021667735 -8490.93055192697 
-8491.40021667735 -8490.97645092727 
-8491.40021667735 -8490.92870986431 
-8491.40021667735 -8490.88064617465 
-8491.40021667735 -8490.88045949083 
-8491.40021667735 -8490.9601607128 
-8491.40021667735 -8490.9679603883 
-8491.40021667735 -8490.95451494899 
-8491.40021667735 -8490.97127158829 
-8491.91333589788 -8491.40021667735 
-8491.40021667735 -8490.92841035138 
-8491.40021667735 -8490.91244615039 
-8491.40021667735 -8490.88036852065 
-8491.40021667735 -8490.87874348168 
-8491.40021667735 -8490.88403882511 
-8491.40021667735 -8490.98347673409 
-8491.40021667735 -8490.94621247431 
-8491.40021667735 -8490.93565202296 
-8491.40021667735 -8490.88721263561 
-8491.40021667735 -8490.91272387376 
-8491.40021667735 -8490.88021633357 
-8491.40021667735 -8490.88345424994 
-8491.40021667735 -8490.86576387517 
-8491.40021667735 -8490.87873914375 
-8491.40021667735 -8490.91281450077 
-8491.40021667735 -8490.92722016351 
-8491.40021667735 -8490.9022990181 
-8491.40021667735 -8490.92334396118 
-8491.40021667735 -8490.88357904582 
-8491.40021667735 -8490.880393108 
-8491.40021667735 -8490.88720677233 
-8491.40021667735 -8490.88059399474 
-8491.40021667735 -8490.95237768762 
-8491.40021667735 -8490.87608476899 
-8491.40021667735 -8490.88697773056 
-8491.40021667735 -8490.88059948785 
-8491.40021667735 -8490.87539922612 
-8491.40021667735 -8490.88059015759 
-8491.40021667735 -8490.92297948995 
-8491.40021667735 -8490.88402559096 
-8491.40021667735 -8490.97885937149 
-8491.40021667735 -8490.97630440611 
-8491.84643727762 -8491.40021667735 
-8491.40021667735 -8490.97644837003 
-8491.40021667735 -8490.93067038576 
-8491.40021667735 -8490.87909094183 
-8491.40021667735 -8490.87903962588 
-8491.40021667735 -8490.91305812789 
-8491.40021667735 -8491.0274936995 
-8491.40021667735 -8491.02386308287 
-8491.40021667735 -8490.96504352582 
-8491.40021667735 -8490.96437160803 
-8491.40021667735 -8490.93142476285 
-8491.40021667735 -8490.87901711431 
-8491.40021667735 -8490.87571234979 
-8491.40021667735 -8490.9164998136 
-8491.40021667735 -8490.97591693965 
-8491.88439832309 -8491.40021667734 
-8491.40021667735 -8490.97622065367 
-8491.40021667735 -8490.92161051649 
-8491.40021667735 -8490.88367853219 
-8491.40021667735 -8490.88236842364 
-8491.40021667735 -8490.87872026743 
-8491.40021667735 -8490.92801069842 
-8491.40021667735 -8490.9127409512 
-8491.40021667735 -8490.93035272376 
-8491.40021667735 -8490.98039416814 
-8491.40021667735 -8490.92649950879 
-8491.40021667735 -8490.97210595655 
-8491.40021667735 -8490.88714630941 
-8491.40021667735 -8490.87536342281 
-8491.40021667735 -8490.91239842445 
-8491.92006879234 -8491.40021667734 
-8491.40021667735 -8491.0089898063 
-8491.40021667735 -8490.97143679685 
-8491.86860935807 -8491.40021667735 
-8491.40021667735 -8490.96745303231 
-8491.40021667735 -8490.8759970681 
-8491.40021667735 -8490.97627599872 
-8491.40021667735 -8490.97944969296 
-8491.40021667735 -8490.96398331942 
-8491.40021667735 -8490.96339173933 
-8491.40021667735 -8490.88300784104 
-8491.40021667735 -8490.93232621693 
-8491.40021667735 -8490.9609816566 
-8491.40021667735 -8490.92347644907 
-8491.40021667735 -8490.93886631491 
-8491.40021667735 -8490.90836898924 
-8491.40021667735 -8490.88413684247 
-8491.40021667735 -8490.88404701981 
-8491.82204127447 -8491.40021667734 
-8491.40021667735 -8490.96437265971 
-8491.40021667735 -8490.92979228037 
-8491.40021667735 -8490.97337248814 
-8491.40021667735 -8490.93156619912 
-8491.40021667735 -8491.03429442432 
-8491.40021667735 -8490.9458609049 
-8491.40021667735 -8490.92225614302 
-8491.40021667735 -8490.9302965973 
-8491.40021667735 -8490.93152944223 
-8491.40021667735 -8491.05914811955 
-8491.40021667735 -8491.02861531385 
-8491.40021667735 -8491.0415732762 
-8491.40021667735 -8491.02755360099 
-8491.40021667735 -8490.98695854853 
-8491.81989154238 -8491.40021667735 
-8491.40021667735 -8490.97967033101 
-8491.40021667735 -8490.9739837808 
-8491.40021667735 -8490.90831519354 
-8491.40021667735 -8490.92664311054 
-8491.40021667735 -8491.05433274298 
-8491.83899457587 -8491.40021667734 
-8491.82990399635 -8491.40021667735 
-8491.40021667735 -8491.046968333 
-8491.40021667735 -8491.04146721902 
-8491.85823982383 -8491.40021667734 
-8491.40021667735 -8491.00754815534 
-8491.40021667735 -8490.96531883914 
-8491.9197350393 -8491.40021667735 
-8491.40021667735 -8490.95582684058 
-8491.40021667735 -8491.03071298195 
-8491.40021667735 -8491.07856332073 
-8491.40021667735 -8490.98282436983 
-8491.40021667735 -8490.93201907833 
-8491.40021667735 -8490.91648020467 
-8491.40021667735 -8490.92675771534 
-8491.40021667735 -8490.87778553423 
-8491.40021667735 -8490.93395376827 
-8491.40021667735 -8490.92662653992 
-8491.40021667735 -8491.00916245777 
-8491.40021667735 -8490.97899668023 
-8491.40021667735 -8490.97949227921 
-8491.40021667735 -8490.88399448503 
-8491.40021667735 -8490.88429156402 
-8491.40021667735 -8490.93554051532 
-8491.40021667735 -8490.97009152191 
-8491.40021667735 -8490.92197131211 
-8491.40021667735 -8490.99992724803 
-8491.40021667735 -8490.9386613031 
-8491.82058981562 -8491.40021667734 
-8491.40021667735 -8490.9732661759 
-8491.40021667735 -8491.0105827108 
-8491.40021667735 -8490.88418429913 
-8491.40021667735 -8490.90623479256 
-8491.40021667735 -8490.93559121685 
-8491.40021667735 -8490.9760303556 
-8491.40021667735 -8490.97787600041 
-8491.40021667735 -8491.01020590951 
-8491.40021667735 -8490.9357967154 
-8491.40021667735 -8490.91646283428 
-8491.40021667735 -8490.88781352535 
-8491.40021667735 -8490.92719524612 
-8491.40021667735 -8490.8804490187 
-8491.40021667735 -8490.91432383284 
-8491.40021667735 -8490.88415142814 
-8491.40021667735 -8490.87406991381 
-8491.40021667735 -8490.88058322278 
-8491.40021667735 -8490.88368936594 
-8491.40021667735 -8490.93169979403 
-8491.40021667735 -8490.95633909792 
-8491.40021667735 -8490.91310616966 
-8491.40021667735 -8490.97140790603 
-8491.40021667735 -8490.88119516387 
-8491.40021667735 -8490.9305201945 
-8491.40021667735 -8490.90877137336 
-8491.40021667735 -8490.88600788926 
-8491.40021667735 -8490.87933323425 
-8491.40021667735 -8490.88381004644 
-8491.40021667735 -8490.89136521063 
-8491.40021667735 -8490.92733409285 
-8491.40021667735 -8490.8873133068 
-8491.40021667735 -8490.91313158202 
-8491.40021667735 -8490.93563796822 
-8491.40021667735 -8490.92845186382 
-8491.40021667735 -8490.88753707774 
-8491.40021667735 -8490.91075264392 
-8491.40021667735 -8491.00445279043 
-8491.40021667735 -8490.92954476611 
-8491.82107115792 -8491.40021667734 
-8491.40021667735 -8490.93095435854 
-8491.40021667735 -8490.96423526401 
-8491.40021667735 -8490.88045141784 
-8491.40021667735 -8490.8790783223 
-8491.40021667735 -8490.92217607463 
-8491.40021667735 -8490.90701070517 
-8491.91340630295 -8491.40021667734 
-8491.40021667735 -8491.03120653057 
-8491.40021667735 -8491.05135601562 
-8491.40021667735 -8491.1005253521 
-8491.40021667735 -8490.96434923851 
-8491.40021667735 -8490.9768003745 
-8491.40021667735 -8490.88420732317 
-8491.40021667735 -8490.88719095578 
-8491.40021667735 -8490.88403124125 
-8491.40021667735 -8490.92556513173 
-8491.40021667735 -8490.95021185696 
-8491.91298809596 -8491.40021667734 
-8491.40021667735 -8490.96426636639 
-8491.40021667735 -8490.91913786628 
-8491.40021667735 -8490.92403567901 
-8491.40021667735 -8490.91970596613 
-8491.40021667735 -8490.96492917831 
-8491.40021667735 -8490.97067060467 
-8491.40021667735 -8490.88761187222 
-8491.40021667735 -8490.96037127091 
-8491.40021667735 -8490.93816128942 
-8491.78393513714 -8491.40021667734 
-8491.74395537963 -8491.40021667735 
-8491.40021667735 -8490.9443941515 
-8491.40021667735 -8490.92721975008 
-8491.40021667735 -8490.89112364041 
-8491.40021667735 -8491.00371959336 
-8491.40021667735 -8491.02052439508 
-8491.40021667735 -8490.93251647876 
-8491.40021667735 -8490.97644819566 
-8491.40021667735 -8490.98635611636 
-8491.40021667735 -8491.05662498309 
-8491.40021667735 -8490.96875672916 
-8491.40021667735 -8490.96374390132 
-8491.87722447362 -8491.40021667734 
-8491.40021667735 -8490.9509146519 
-8491.78465669393 -8491.40021667735 
-8491.83936497497 -8491.40021667734 
-8491.40021667735 -8490.89359473631 
-8491.40021667735 -8490.94149143746 
-8491.40021667735 -8491.02310773623 
-8491.85726853326 -8491.40021667735 
-8491.40021667735 -8490.98017224264 
-8491.40021667735 -8490.89757951398 
-8491.40021667735 -8490.87957236695 
-8491.40021667735 -8490.87890893297 
-8491.40021667735 -8490.91322798202 
-8491.40021667735 -8490.93524015161 
-8491.87701551259 -8491.40021667735 
-8491.40021667735 -8490.95889143848 
-8491.40021667735 -8491.02329989258 
-8491.40021667735 -8490.96592208684 
-8491.40021667735 -8491.018988437 
-8491.40021667735 -8490.95810528746 
-8491.40021667735 -8491.01676806098 
-8491.40021667735 -8490.92895193518 
-8491.40021667735 -8490.93574753609 
-8491.40021667735 -8490.89446929317 
-8491.40021667735 -8490.96080939802 
-8491.40021667735 -8490.92296155349 
-8491.40021667735 -8490.97968656238 
-8491.40021667735 -8490.97501915456 
-8491.40021667735 -8491.02675162598 
-8491.40021667735 -8490.92899450634 
-8491.40021667735 -8490.92437631108 
-8491.40021667735 -8491.02465255066 
-8491.40021667735 -8490.93422697918 
-8491.40021667735 -8490.97631254363 
-8491.40021667735 -8490.88342621293 
-8491.40021667735 -8490.87561565986 
-8491.40021667735 -8490.88352153849 
-8491.40021667735 -8490.88373731085 
-8491.40021667735 -8490.91681155638 
-8491.40021667735 -8490.91302424274 
-8491.40021667735 -8490.88234304171 
-8491.40021667735 -8491.02797705969 
